Title,Number of List Appearances - Book,Genre
A FIELD GUIDE TO THE BIRDS,12,Non-fiction
A FIGHTING CHANCE,9,Non-fiction
A FINE ROMANCE,3,Non-fiction
A FIRE IN THE FLESH,1,Fiction
A FIRST-RATE MADNESS,2,Non-fiction
A FISTFUL OF COLLARS,1,Fiction
A FLAG FOR SUNRISE,1,Fiction
A FLICKER IN THE DARK,1,Fiction
A FOREIGN POLICY FOR AMERICANS,17,Non-fiction
A FORTUNE TO SHARE,1,Non-fiction
A FULL LIFE,8,Non-fiction
A GAMBLING MAN,7,Fiction
A GARDEN TO THE EASTWARD,2,Fiction
A GATE AT THE STAIRS,3,Fiction
A GATHERING OF SHADOWS,1,Fiction
A GENTLEMAN IN MOSCOW,59,Fiction
A GHOST TOWN ON THE YELLOWSTONE,6,Non-fiction
A GIFT OF HOPE,1,Non-fiction
A GIFT OF JOY,17,Non-fiction
A GIFT OF PROPHECY,37,Non-fiction
A GIRL'S GUIDE TO MOVING ON,3,Fiction
A GOD IN RUINS,4,Fiction
A GOLFER'S LIFE,1,Non-fiction
A GOOD LIFE,7,Non-fiction
A GOOD NEIGHBORHOOD,1,Fiction
A GOOD WALK SPOILED,30,Non-fiction
A GOOD WOMAN,2,Fiction
A GOOD YARN,1,Fiction
A GOOD YEAR,3,Fiction
A GOOMBA'S GUIDE TO LIFE,1,Non-fiction
A GRAND PURSUIT,1,Non-fiction
A GREAT RECKONING,5,Fiction
A GREEN DESIRE,15,Fiction
A GUIDE FOR THE BEDEVILED,7,Non-fiction
A GUIDE TO CONFIDENT LIVING,80,Non-fiction
A HAND TO GUIDE ME,4,Non-fiction
A HAPPY DEATH,2,Fiction
A HEART THAT WORKS,1,Non-fiction
A HEARTBEAT AWAY,2,Fiction
A HEARTBREAKING WORK OF STAGGERING GENIUS,14,Non-fiction
A HECKUVA JOB,2,Non-fiction
A HERO FOR OUR TIMES,8,Non-fiction
A HERO OF FRANCE,1,Fiction
A HIGHER CALL,13,Non-fiction
A HIGHER LOYALTY,9,Non-fiction
A HISTORY OF GOD,6,Non-fiction
A HISTORY OF THE AMERICAN PEOPLE,3,Non-fiction
A HISTORY OF THE ARAB PEOPLES,11,Non-fiction
A HISTORY OF THE WORLD IN 100 OBJECTS,3,Non-fiction
A HISTORY OF WESTERN PHILOSOPHY,1,Non-fiction
A HOLOGRAM FOR THE KING,1,Fiction
A HOUSE DIVIDED,2,Fiction
A HOUSE IN THE SKY,1,Non-fiction
A HOUSE IS NOT A HOME,28,Non-fiction
A HOUSEFUL OF LOVE,4,Fiction
A HUNDRED HOURS TO SUEZ,2,Non-fiction
A HUNTER-GATHERER'S GUIDE TO THE 21ST CENTURY,1,Non-fiction
"A HUNTER-GATHERER'S GUIDE TO THE 21ST CENTURY, b y Heather Heying",2,Non-fiction
A JOURNEY,5,Non-fiction
A JOURNEY TO MATECUMBE,22,Fiction
A KIND OF MAGIC,1,Non-fiction
A KING'S STORY,27,Non-fiction
A KISS OF SHADOWS,1,Fiction
A KISS REMEMBERED,1,Fiction
A KNIGHT OF THE SEVEN KINGDOMS,10,Fiction
A LEGACY,16,Fiction
A LEGACY OF SPIES,6,Fiction
A LESSON IN SECRETS,1,Fiction
A LICK OF FROST,3,Fiction
A LIFE IN PARTS,2,Non-fiction
A LIFE OF PICASSO,1,Non-fiction
A LIFE ON THE ROAD,23,Non-fiction
A LIFE WELL PLAYED,5,Non-fiction
A LIFETIME OF SECRETS,3,Non-fiction
A LIGHT IN THE ATTIC,182,Non-fiction
A LIGHT IN THE WINDOW,12,Fiction
A LION AMONG MEN,4,Fiction
A LION CALLED CHRISTIAN,8,Non-fiction
A LION IS IN THE STREETS,30,Fiction
A LITTLE BIT WICKED,3,Non-fiction
A LITTLE CLOSER TO HOME,1,Non-fiction
A LITTLE HATRED,1,Fiction
A LITTLE YELLOW DOG,1,Fiction
A LONG AND HAPPY LIFE,4,Fiction
A LONG DAY'S DYING,8,Fiction
A LONG FATAL LOVE CHASE,1,Fiction
A LONG PETAL OF THE SEA,6,Fiction
A LONG ROW OF CANDLES,4,Non-fiction
A LONG STRANGE TRIP,1,Non-fiction
A LONG WAY DOWN,7,Fiction
A LONG WAY FROM HOME,9,Non-fiction
A LONG WAY GONE,33,Non-fiction
A LOTUS GROWS IN THE MUD,5,Non-fiction
A LOVE OF MY OWN,7,Fiction
A LOVING SCOUNDREL,2,Fiction
A LOWCOUNTRY HEART,1,Non-fiction
A LUCKY LIFE INTERRUPTED,6,Non-fiction
A MAGGOT,9,Fiction
A MAN,4,Fiction
A MAN CALLED INTREPID,34,Non-fiction
A MAN CALLED LUCY,1,Non-fiction
A MAN CALLED PETER,170,Non-fiction
A MAN IN A MIRROR,5,Fiction
A MAN IN FULL,19,Fiction
A MAN NAMED DAVE,12,Non-fiction
A MAN RIDES THROUGH,3,Fiction
A MAN TO CALL MY OWN,4,Fiction
A MAN WITHOUT A COUNTRY,7,Non-fiction
A MAN WITHOUT BREATH,1,Fiction
A MANUAL FOR CLEANING WOMEN,1,Fiction
A MANY-SPLENDORED THING,12,Non-fiction
A MAP OF THE WORLD,1,Fiction
A MARRIAGE MADE IN HEAVEN . . . OR TOO TIRED FOR AN AFFAIR,1,Non-fiction
A MARRIAGE MADE IN HEAVEN ... OR TOO TIRED FOR A N AFFAIR,7,Non-fiction
A MARRIAGE MADE IN HEAVEN ... OR TOO TIRED FOR AN  AFFAIR,8,Non-fiction
A MASS FOR THE DEAD,1,Non-fiction
A MATTER OF CHARACTER,4,Non-fiction
A MATTER OF HONOR,17,Fiction
A MATTER OF LIFE AND DEATH,6,Non-fiction
A MEMORY OF LIGHT,12,Fiction
A MENCKEN CHRESTOMATHY,2,Non-fiction
A MERCY,11,Fiction
A MIGHTY FORTRESS,1,Fiction
A MILLION LITTLE PIECES,3,Non-fiction
A MIND AT A TIME,29,Non-fiction
A MINUTE TO MIDNIGHT,11,Fiction
A MODERN HERO,4,Fiction
A MODERN PRIEST LOOKS AT HIS OUTDATED CHURCH,31,Non-fiction
A MONK SWIMMING,16,Non-fiction
A MONTH OF SUNDAYS,15,Fiction
A MORE PERFECT UNION,6,Non-fiction
A MOST WANTED MAN,4,Fiction
A MOTHER AND TWO DAUGHTERS,18,Fiction
A MOTHER'S KISSES,9,Fiction
A MOTHER'S RECKONING,4,Non-fiction
A MOUSE IS BORN,1,Fiction
A MOVEABLE FEAST,29,Non-fiction
A MRS. MIRACLE CHRISTMAS,1,Fiction
A NATION CHALLENGED,4,Non-fiction
A NATION OF NATIONS,1,Non-fiction
A NATION OF SHEEP,51,Non-fiction
A NATION OF STRANGERS,8,Non-fiction
A NATIONAL PARTY NO MORE,9,Non-fiction
A NATURAL HISTORY OF NEW YORK CITY,2,Non-fiction
A NATURAL HISTORY OF THE SENSES,8,Non-fiction
A NATURAL WOMAN,2,Non-fiction
A NECESSARY WOMAN,12,Fiction
A NEW ENGLAND GIRLHOOD,5,Non-fiction
A NEW LIFE,4,Fiction
A NEW SONG,11,Fiction
A NEW WAY TO BETTER GOLF,7,Non-fiction
A NEW YORK TEMPEST,1,Fiction
A NICE LITTLE PLACE ON THE NORTH SIDE,1,Non-fiction
A NIGHT IN LISBON,20,Fiction
A NIGHT OF WATCHING,20,Fiction
A NIGHT TO REMEMBER,32,Non-fiction
A NIGHT WITHOUT ARMOR,20,Fiction
A PAINTED HOUSE,22,Fiction
A PAPER LIFE,6,Non-fiction
A PASSAGE IN THE NIGHT,7,Fiction
A PASSION FOR EXCELLENCE,40,Non-fiction
A PATCHWORK PLANET,6,Fiction
A PATH APPEARS,2,Non-fiction
"A PATRIOT'S HANDBOOK, selected by Caroline Kenne dy. (Hyperion, $27.95.)",2,Non-fiction
"A PATRIOT'S HANDBOOK, selected by Caroline Kenne dy. (Hyperion, $27.95.) A",1,Non-fiction
"A PATRIOT'S HANDBOOK, selected by Caroline Kenned y. (Hyperion, $27.95.)",1,Non-fiction
"A PATRIOT'S HANDBOOK, selected by Caroline Kenned y. (Hyperion, $27.95.) A",3,Non-fiction
A PECULIAR TREASURE,15,Non-fiction
A PENNANT FOR THE KREMLIN,1,Fiction
A PERFECT BLOOD,3,Fiction
A PERFECT DAY,1,Fiction
A PERFECT LIFE,4,Fiction
A PERFECT SCORE,1,Non-fiction
A PERFECT SPY,24,Fiction
A PERFECT UNION OF CONTRARY THINGS,1,Non-fiction
A PHILOSOPHY FOR OUR TIME,6,Non-fiction
A PHOTOGRAPHER'S LIFE,3,Non-fiction
A PICTORIAL HISTORY OF THE CONFEDERACY,1,Non-fiction
A PIECE OF THE WORLD,4,Fiction
A PILLAR OF IRON,12,Fiction
A PIRATE LOOKS AT FIFTY,28,Non-fiction
A PLACE CALLED FREEDOM,8,Fiction
A PLACE FOR US,1,Fiction
A PLACE IN THE COUNTRY,9,Fiction
A PLACE IN THE WORLD,1,Non-fiction
A PLACE OF HIDING,7,Fiction
A PLAGUE OF DOVES,1,Fiction
A PLAGUE OF SECRETS,1,Fiction
A PORTION FOR FOXES,17,Fiction
A PRAYER FOR MY SON,5,Fiction
A PRAYER FOR OWEN MEANY,19,Fiction
A PRINCESS IN EXILE,3,Non-fiction
A PRINCESS OF LANDOVER,1,Fiction
A PRISONER OF BIRTH,5,Fiction
A PRIVATE CATHEDRAL,1,Fiction
A PROLOGUE TO LOVE,30,Fiction
A PROMISE TO OURSELVES,1,Non-fiction
A PROMISED LAND,23,Non-fiction
A QUESTION OF CHARACTER,12,Non-fiction
A RAGE TO LIVE,33,Fiction
A RED HERRING WITHOUT MUSTARD,1,Fiction
A REDBIRD CHRISTMAS,8,Fiction
A REMARKABLE MOTHER,2,Non-fiction
A REMARKABLE WOMAN,1,Non-fiction
A REPORTER'S LIFE,19,Non-fiction
A REPUBLIC UNDER ASSAULT,2,Non-fiction
"A REPUBLIC, IF YOU CAN KEEP IT",1,Non-fiction
"A REPUBLIC, NOT AN EMPIRE",1,Non-fiction
A REPUBLICAN LOOKS AT HIS PARTY,8,Non-fiction
A RETURN TO COMMON SENSE,1,Non-fiction
A RISING THUNDER,2,Fiction
A RIVER IN THE SKY,1,Fiction
A ROYAL DUTY,8,Non-fiction
A RULING PASSION,11,Fiction
A RUMOR OF WAR,1,Non-fiction
A RUSSIAN JOURNAL,5,Non-fiction
A SACRED OATH,2,Non-fiction
A SAFE HOUSE,1,Fiction
A SALTY PIECE OF LAND,12,Fiction
A SEASON IN HELL,10,Fiction
A SEASON IN PURGATORY,9,Fiction
A SEASON IN THE SUN,1,Non-fiction
A SEASON OF MISTS,1,Fiction
A SEASON ON THE BRINK,25,Non-fiction
A SECOND-HAND LIFE,8,Fiction
A SECRET AFFAIR,4,Fiction
A SECRET KEPT,1,Fiction
A SENSE OF VALUES,10,Fiction
A SEPARATE PEACE,2,Fiction
A SERPENT'S TOOTH,1,Fiction
A SHADE OF DIFFERENCE,25,Fiction
A SHIVER OF LIGHT,1,Fiction
A SHOOTING STAR,11,Fiction
A SHORT HISTORY OF NEARLY EVERYTHING,28,Non-fiction
A SHOWER OF SUMMER DAYS,1,Fiction
A SIMPLE CHRISTMAS,5,Non-fiction
A SIMPLE GOVERNMENT,2,Non-fiction
A SIMPLE PATH,13,Non-fiction
A SINGLE PEBBLE,23,Fiction
A SINGULAR WOMAN,2,Non-fiction
A SLOBBERING LOVE AFFAIR,6,Non-fiction
A SLOW FIRE BURNING,6,Fiction
A SMALL TOWN IN GERMANY,28,Fiction
A SMATTERING OF IGNORANCE,20,Non-fiction
A SOLDIER OF THE GREAT WAR,6,Fiction
A SOLDIER'S STORY,18,Non-fiction
A SOLO IN TOM-TOMS,18,Non-fiction
A SON OF THE CIRCUS,9,Fiction
A SONG FLUNG UP TO HEAVEN,5,Non-fiction
A SONG FOR YOU,1,Non-fiction
A SONG OF SIXPENCE,3,Fiction
A SONG TO DROWN RIVERS,1,Fiction
A SOUL OF ASH AND BLOOD,1,Fiction
A SOUTHERN FAMILY,8,Fiction
A SPANIARD IN THE WORKS,1,Non-fiction
A SPARK OF LIGHT,8,Fiction
A SPOOL OF BLUE THREAD,13,Fiction
A SPOT OF BOTHER,2,Fiction
A SPY AMONG FRIENDS,6,Non-fiction
A STAR DANCED,14,Non-fiction
A STAR IN THE WIND,3,Fiction
A STEP OF FAITH,2,Fiction
A STILLNESS AT APPOMATTOX,10,Non-fiction
A STOLEN LIFE,15,Non-fiction
A STONE FOR DANNY FISHER,7,Fiction
A STORM OF SWORDS,2,Fiction
A STRANGER IN THE HOUSE,2,Fiction
A STRANGER IN THE MIRROR,21,Fiction
A STRANGER IS WATCHING,13,Fiction
A STREET CAT NAMED BOB,4,Non-fiction
A STROKE OF MIDNIGHT,3,Fiction
A STUDY OF COMMUNISM,8,Non-fiction
A STUDY OF HISTORY,63,Non-fiction
A SUDDEN CHANGE OF HEART,7,Fiction
A SUDDEN LIGHT,1,Fiction
A SUMMER PLACE,18,Fiction
A SUNLESS SEA,1,Fiction
A SUNLIT WEAPON,1,Fiction
A SUNSET TOUCH,1,Fiction
A SWIM IN A POND IN THE RAIN,5,Non-fiction
A TALE FOR MIDNIGHT,2,Fiction
A TANGLED WEB,2,Fiction
A TASTE FOR DEATH,16,Fiction
A THIEF OF TIME,11,Fiction
A THIN DARK LINE,5,Fiction
A THING OF BEAUTY,21,Fiction
A THOUSAND ACRES,2,Fiction
A THOUSAND COUNTRY ROADS,9,Fiction
A THOUSAND DAYS,26,Non-fiction
A THOUSAND SPLENDID SUNS,49,Fiction
A THOUSAND SPRINGS,7,Non-fiction
A THREAD OF GRACE,1,Fiction
A TIME FOR MERCY,19,Fiction
A TIME FOR TRUTH,19,Non-fiction
A TIME IN ROME,4,Non-fiction
A TIME TO DIE,1,Non-fiction
A TIME TO FIGHT,3,Non-fiction
A TIME TO HEAL,4,Non-fiction
A TIME TO LOVE AND A TIME TO DIE,17,Fiction
A TORCH KEPT LIT,3,Non-fiction
A TOUCH OF DEAD,4,Fiction
"A TRAIL OF MEMORIES, edited by Angelique L'Amour . (Bantam, $12.95.)",4,Non-fiction
"A TRAIL OF MEMORIES, edited by Angelique L'Amour.  (Bantam, $12.95.)",7,Non-fiction
A TRAIN OF POWDER,7,Non-fiction
A TRAITOR TO MEMORY,7,Fiction
"A TREASURY OF AMERICAN FOLKLORE, edited by B. A. Botkin. (Crown.) -- 1",1,Non-fiction
"A TREASURY OF AMERICAN FOLKLORE, edited by B. A. Botkin. (Crown.) 5 2",1,Non-fiction
"A TREASURY OF ART MASTERPIECES, edited by Thomas Cr aven. (Simon &",18,Non-fiction
"A TREASURY OF GILBERT AND SULLIVAN, edited by Deems  Taylor. (Simon &",8,Non-fiction
A TREASURY OF JEWISH FOLKLORE,7,Non-fiction
A TREASURY OF MEXICAN FOLKWAYS,2,Non-fiction
A TREASURY OF NEW ENGLAND FOLKLORE,7,Non-fiction
"A TREASURY OF THE WORLD'S GREAT LETTERS, edited by M. Lincoln",14,Non-fiction
A TREASURY OF WESTERN FOLKLORE,1,Non-fiction
A TREE GROWS IN BROOKLYN,50,Fiction
A TRIBUTE TO JOHN F. KENNEDY,21,Non-fiction
A TRICK OF THE LIGHT,2,Fiction
A TURN IN THE ROAD,3,Fiction
A TWIST IN THE TALE,4,Fiction
A TWIST OF SAND,2,Fiction
A UNIVERSE FROM NOTHING,2,Non-fiction
A VAST CONSPIRACY,5,Non-fiction
A VERY PRIVATE EYE,4,Non-fiction
A VERY PUNCHABLE FACE,1,Non-fiction
A VERY STABLE GENIUS,8,Non-fiction
A VERY STRANGE TRIP,2,Fiction
A VIEW FROM A BROAD,3,Non-fiction
A VOYAGE LONG AND STRANGE,2,Non-fiction
A WALK ACROSS AMERICA,11,Non-fiction
A WALK ALONG THE BEACH,2,Fiction
A WALK IN THE PARK,5,Non-fiction
